evento_nombre,evento_url,evento_descripcion,evento_lugar,municipio_nombre,evento_organizador,evento_fecha_inicio,evento_fecha_fin
Decimoquinta jornada de Lucha Canaria en los Juegos Cabildo,https://www.deportestenerife.es/evento/decimoquinta-jornada-de-lucha-canaria-en-los-juegos-cabildo/,"Decimoquinta jornada de Lucha Canaria en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a> que se celebrará de forma simultánea en diferentes terreros de lucha a lo largo de la geografía insular.",Tenerife,,Cabildo de Tenerife y Fundación DISA,2016-04-09 10:00:00,2016-04-09 12:00:00
Final insular de Salvamento y Socorrismo en los Juegos Cabildo,https://www.deportestenerife.es/evento/final-insular-de-salvamento-y-socorrismo-en-los-juegos-cabildo/,"Final insular de Salvamento y Socorrismo en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a> en el Complejo Deportivo de Tenerife Santa Cruz-Ofra.",Complejo Deportivo de Tenerife,Santa Cruz de Tenerife,Cabildo de Tenerife y Fundación DISA,2016-04-09 16:00:00,2016-04-09 19:00:00
Tercera jornada de Atletismo en los Juegos Máster,https://www.deportestenerife.es/evento/tercera-jornada-de-atletismo-en-los-juegos-master/,"Tercera jornada de Atletismo en los <a href=""http://juegosmastercabildo.com/"" target=""_blank"" rel=""noopener"">II Juegos Máster Cabildo de Tenerife</a> que se celebrará en el Estadio Iván Rodríguez de Los Realejos.",Estadio Iván Rodríguez Ramallo,Los Realejos,Cabildo de Tenerife e IDECO,2016-04-09 17:00:00,2016-04-09 20:00:00
Tercera jornada de Bola Canaria en los Juegos Máster,https://www.deportestenerife.es/evento/tercera-jornada-de-bola-canaria-en-los-juegos-master/,"Tercera jornada de Bola Canaria en los <a href=""http://juegosmastercabildo.com/"" target=""_blank"" rel=""noopener"">II Juegos Máster Cabildo de Tenerife</a>, que se celebrará en el campo de bochas de la Asociación de Vecinos Tabajoste de Los Baldíos (La Laguna).",Fotos,,Cabildo de Tenerife e IDECO,2016-04-09 17:00:00,2016-04-09 19:00:00
II Carrera Nocturna DXT Santa Úrsula,https://www.deportestenerife.es/evento/ii-carrera-nocturna-dxt-santa-ursula/,II Carrera Nocturna DXT que se celebra en el municipio de Santa Úrsula con dos distancias a elegir de 5 y 10 kilómetros de recorrido urbano. A las 18:30 horas habrá carrera infantil y la prueba nocturna dará comienzo a partir de las 20:30 horas. Plazo de inscripción hasta el 7 de abril.,Santa Úrsula,,Ayuntamiento de Santa Úrsula,2016-04-09 18:30:00,2016-04-09 23:00:00
X Marcha Ciclista Monte del Agua,https://www.deportestenerife.es/evento/x-marcha-ciclista-monte-del-agua/,Prueba cicloturista que se celebra en el entorno natural del Monte del Agua y que alcanza este año su décima edición. Una ruta ideal para principiantes que quieran conocer de cerca este mundo y disfrutar de un paraje de gran belleza como son las pistas de Monte del Agua en la vertiente norte de la Isla.,Monte del Agua,Buenavista del Norte,Ayuntamiento de Buenavista del Norte,2016-04-10 09:30:00,2016-04-10 14:00:00
Segunda jornada de Trail en los Juegos Máster,https://www.deportestenerife.es/evento/segunda-jornada-de-trail-en-los-juegos-master/,"Segunda jornada de Iniciación al Trail en los <a href=""http://juegosmastercabildo.com/"" target=""_blank"" rel=""noopener"">II Juegos Máster Cabildo de Tenerife</a> con una ruta que partirá desde el Área de La Caldera (La Orotava).",La Caldera,La Orotava,Cabildo de Tenerife e IDECO,2016-04-10 09:30:00,2016-04-10 13:00:00
3º Duatlón Chanajiga Cross,https://www.deportestenerife.es/evento/3o-duatlon-chanajiga-cross/,"El Duatlón Chanajiga Cross transcurre por buena parte del municipio tinerfeño de Los Realejos, atravesando las pistas de Chanajiga. Son tres pruebas diferenciadas: una carrera a pie de unos 3 kilómetros, un trazado en bicicleta de algo más de 22 kilómetros y una carrera final a pie de 4 kilómetros aproximadamente. Este duatlón se podrá realizar tanto de forma individual como por equipos.",Chanajiga,Los Realejos,ADVA Trisport,2016-04-10 11:00:00,2016-04-10 14:00:00
Decimoquinta jornada de Deporte Adaptado en los Juegos Cabildo,https://www.deportestenerife.es/evento/decimoquinta-jornada-de-deporte-adaptado-en-los-juegos-cabildo/,"Decimoquinta jornada de Deporte Adaptado en la modalidad de bola canaria en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a>, que se celebrará en el Centro de Atletismo de Tenerife, en Tíncer (Santa Cruz de Tenerife).",Centro de Atletismo de Tenerife,Santa Cruz de Tenerife,Cabildo de Tenerife y Fundación DISA,2016-04-13 09:00:00,2016-04-13 11:30:00
Finaliza el plazo de solicitud de ayudas al desplazamiento,https://www.deportestenerife.es/evento/finaliza-el-plazo-de-solicitud-de-ayudas-al-desplazamiento/,"El 15 de abril de 2016 finaliza el plazo de presentación de solicitudes de subvención para contribuir a sufragar los gastos derivados de su asistencia a competiciones oficiales de ámbito nacional e internacional fuera de la Comunidad Autónoma Canaria, con la salvedad de Fases Finales de Campeonatos de España, de Europa o del Mundo.",,,Cabildo de Tenerife,2016-04-15 00:00:00,2016-04-15 23:59:59
Playoff semifinal de Voleibol en los Juegos Cabildo,https://www.deportestenerife.es/evento/playoff-semifinal-de-voleibol-en-los-juegos-cabildo/,"Encuentros de playoff semifinal Cadete Femenino de la Liga Insular de Voleibol en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a> que se celebrarán en el Pabellón de Deportes Alberto Delgado de La Laguna.",Pabellón de Deportes Alberto Delgado,La Laguna,Cabildo de Tenerife y Fundación DISA,2016-04-15 16:00:00,2016-04-17 12:00:00
Novena jornada de Fútbol Sala en los Juegos Cabildo,https://www.deportestenerife.es/evento/novena-jornada-de-futbol-sala-en-los-juegos-cabildo/,"Novena jornada de Fútbol Sala en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a> que se disputará simultáneamente en diferentes pabellones de la Isla.",Tenerife,,Cabildo de Tenerife y Fundación DISA,2016-04-16 08:30:00,2016-04-16 12:30:00
Sexta jornada de Tenis de mesa en los Juegos Cabildo,https://www.deportestenerife.es/evento/sexta-jornada-de-tenis-de-mesa-en-los-juegos-cabildo/,"Sexta jornada de Tenis de mesa en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a> que se celebrará en el Pabellón Deportivo del IES Punta Larga de Candelaria.",Pabellón IES Punta Larga,Candelaria,Cabildo de Tenerife y Fundación DISA,2016-04-16 09:00:00,2016-04-16 12:30:00
Tercera jornada de Bola canaria en los Juegos Cabildo,https://www.deportestenerife.es/evento/tercera-jornada-de-bola-canaria-en-los-juegos-cabildo-2/,"Tercera jornada de Bola canaria en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a>, que se disputará en el campo de bochas de la Asociación de Vecinos Tabajoste de Los Baldíos (La Laguna).",Fotos,,Cabildo de Tenerife y Fundación DISA,2016-04-16 09:00:00,2016-04-16 12:00:00
Segunda fase de Gimnasia Rítmica conjuntos en los Juegos Cabildo,https://www.deportestenerife.es/evento/segunda-fase-de-gimnasia-ritmica-conjuntos-en-los-juegos-cabildo/,"Segunda fase de conjuntos en Gimnasia Rítmica en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a> que se celebrará en el Pabellón de Deportes Ana Bautista de Santa Cruz de Tenerife.",Pabellón de Deportes Ana Bautista,Santa Cruz de Tenerife,Cabildo de Tenerife y Fundación DISA,2016-04-16 09:00:00,2016-04-16 12:30:00
Primera jornada de Taichí en los Juegos Máster,https://www.deportestenerife.es/evento/primera-jornada-de-taichi-en-los-juegos-master/,"Primera jornada de Taichí en los <a href=""http://juegosmastercabildo.com/"" target=""_blank"" rel=""noopener"">II Juegos Máster Cabildo de Tenerife</a> que se celebrará en el Pabellón Deportivo Quiquirá de La Orotava.",Pabellón de Deportes Quiquirá,La Orotava,Cabildo de Tenerife e IDECO,2016-04-16 10:00:00,2016-04-16 13:00:00
Decimosexta jornada de Lucha canaria en los Juegos Cabildo,https://www.deportestenerife.es/evento/decimosexta-jornada-de-lucha-canaria-en-los-juegos-cabildo/,"Decimosexta jornada de Lucha canaria en los <a href=""http://juegoscabildotenerife.com/"" target=""_blank"" rel=""noopener"">XXIX Juegos Cabildo de Tenerife</a> que se celebrará de forma simultánea en diferentes terreros de la Isla.",Tenerife,,Cabildo de Tenerife y Fundación DISA,2016-04-16 10:00:00,2016-04-16 12:00:00
Trail Santa Cruz Extreme,https://www.deportestenerife.es/evento/santa-cruz-extreme-anaga/,"Santa Cruz Extreme es un evento deportivo en torno a la práctica del Trail Running, que transcurre en el entorno natural del Parque Rural de Anaga en Santa Cruz de Tenerife.",Parque Rural de Anaga,Anaga,Ayuntamiento de Santa Cruz de Tenerife,2016-04-17 06:30:00,2016-04-17 18:30:00
Primera jornada de Cicloturismo en los Juegos Máster,https://www.deportestenerife.es/evento/primera-jornada-de-cicloturismo-en-los-juegos-master/,"Primera jornada de Cicloturismo en los <a href=""http://juegosmastercabildo.com/"" target=""_blank"" rel=""noopener"">II Juegos Máster Cabildo de Tenerife</a>, con una ruta en la modalidad de marcha neutralizada que partirá desde la Plaza de San Pedro (Güímar) y llegará hasta Arico Viejo, donde el pelotón dará la vuelta para regresar al punto de partida en Güímar.",Plaza de San Pedro,Güímar,Cabildo de Tenerife e IDECO,2016-04-17 09:00:00,2016-04-17 13:00:00
Finaliza el plazo para la solicitud de subvenciones para las federaciones deportivas insulares,https://www.deportestenerife.es/evento/finaliza-plazo-la-solicitud-subvenciones-las-federaciones-deportivas-insulares/,"Finaliza el plazo para que las federaciones deportivas insulares – y canarias, en el caso de que no existan las insulares – puedan solicitar las subvenciones destinadas a sufragar parte de los gastos ordinarios de gestión y administración.",Cabildo Insular de Tenerife,Tenerife,Cabildo de Tenerife,2016-04-18 00:00:00,2016-04-18 23:59:59
I Foro Mujeres y Deporte,https://www.deportestenerife.es/evento/i-foro-mujeres-y-deporte/,"El Área de Deportes del Cabildo de Tenerife organiza el I Foro Mujeres y Deporte, en el que pretende abordar una reflexión desde la perspectiva de género sobre distintos aspectos relacionados con la actividad deportiva.",Sede de Cajasiete,Santa Cruz de Tenerife,Cabildo de Tenerife,2016-04-20 09:00:00,2016-04-20 20:30:00
