actividad_id,actividad_nombre,actividad_descripcion,actividad_tipo,infraestructura,latitud,longitud,permite_caravana,pernocta,actividad_para_grupos,maximo_personas,minimo_noches,maximo_noches,maximo_dias_antelacion,dias_disponible
32,Estancia de grupos organizados en el área recreativa de Chío (Guía de Isora),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área recreativa de Chío (Guía de Isora),28.266149520874023,-16.74624252319336,False,False,True,520,0,0,90,"L,M,X,J,V,"
33,Estancia de grupos organizados en el área recreativa de El Contador (Arico),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área recreativa El Contador (Arico),,,False,False,True,280,0,0,90,"L,M,X,J,V,"
34,Estancia de grupos organizados en el área recreativa de El Lagar (Icod de los Vinos),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área recreativa El Lagar (Icod de Los Vinos),,,False,False,True,220,0,0,90,"L,M,X,J,V,"
35,Estancia de grupos organizados en el área recreativa Hoya del Abade (La Victoria),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental",Estancia de grupos en áreas recreativas,Área Recreativa Hoya del Abade (La Victoria),,,False,False,True,140,0,0,90,"L,M,X,J,V,"
36,Estancia de grupos organizados en el área recreativa  La Caldera  (La Orotava),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área Recreativa La Caldera (La Orotava),,,False,False,True,660,0,0,90,"L,M,X,J,V,"
37,Estancia de grupos organizados en el área recreativa La Laguneta Chica (Santa Úrsula),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área recreativa La Laguneta Chica (Santa Úrsula),,,False,False,True,140,0,0,90,"L,M,X,J,V,"
38,Estancia de grupos organizados en el área recreativa La Tahona (San Juan de la Rambla),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área recreativa La Tahona (San Juan de la Rambla),,,False,False,True,360,0,0,90,"L,M,X,J,V,"
39,Estancia de grupos organizados en el área recreativa La Quebrada (Tegueste),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área recreativa La Quebrada (Tegueste),28.53189849853516,-16.3009090423584,False,False,True,115,0,0,90,"L,M,X,J,V,"
40,Estancia de grupos organizados en el área recreativa Las Calderetas (El Sauzal),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental.",Estancia de grupos en áreas recreativas,Área recreativa Las Calderetas (El Sauzal),,,False,False,True,380,0,0,90,"L,M,X,J,V,"
41,Estancia de grupos organizados en el área recreativa  Las Hayas (Icod de los Vinos),"Estancia de grupos organizados (entidades, asociaciones, colegios, empresas, etc.) en el área recreativa, de lunes a viernes no coincidente con festivo, para celebrar comidas en contacto con la naturaleza y con finalidad de esparcimiento o educativo-ambiental",Estancia de grupos en áreas recreativas,Área recreativa Las Hayas (Icod de los Vinos),,,False,False,True,260,0,0,90,"L,M,X,J,V,"
